100 Grand Bar;1;"bar - each 1.5 OZ - 2 pieces - 2 1/4"" x 1"" each";23.606;1.984;0.255;17.75;2.562;1.427;2.634
3 Musketeers;1;"regular size bar - each 2.13 OZ - 4 7/8"" long";36.91;2.232;0.28;31.849;1.652;1.593;0.316
5th Avenue;1;"regular size bar - each 2 OZ - 5 1/2"" long";29.076;1.855;0.307;25.052;1.242;1.113;0.569
After Eight Thin Chocolate Mints;5;piece;28.001;0.038;0.038;27.093;1.437;0;0.251
Agave syrup (agave nectar);1;tablespoon;14.286;2.61;11.676;0;0;0;0
Air Heads;3;"bar - each 0.55 OZ - 3 1/2"" long";26.192;4.699;0.297;19.018;0;2.178;6.977
Almond bark, homemade;1.5;ounce;24.673;0;0;20.649;4.485;0;0
Almond bark, homemade, nuts;1.5;ounce;19.195;0.017;0.011;16.096;3.409;0.004;0.073
Almond bark, store bought;1.5;ounce;26.967;0;0;25.898;1.069;0;0
Almond Joy;1;"regular size bar - each 1.61 OZ - 2 pieces - 2 3/4"" long per piece";18.184;2.084;0.45;13.884;0.892;1.25;0.171
Almond Roca (Brown & Haley);3;piece - each 0.44 OZ;15.218;0.01;0.016;14.767;0.403;0.002;0.143
Almond Roca Sugar Free (Brown & Haley);3;piece;0.434;0.062;0.019;0.34;0.003;0.003;0.16
Almond Supremes (Brach's);10;piece;16.741;0.048;0.043;15.678;1.652;0.016;0.354
Andes Cherry Jubilee Thins;9;piece;22.68;0.001;0.043;20.343;2.263;0;0.464
Andes Creme de Menthe Thins;9;piece;22.68;0.001;0.043;20.343;2.263;0;0.464
Andes Creme de Menthe Thins Sugar Free;7;piece;0.141;0.07;0.048;0.024;0;0;0.51
Andes Mint Parfait Thins;9;piece;22.68;0.001;0.043;20.343;2.263;0;0.464
Andes Toffee Crunch Thins;9;piece;24.846;0.165;0.061;21.915;2.546;0.119;0.464
Aplets (Liberty Orchards);3;piece;24.001;1.844;0.202;20.617;0;1.339;0.004
Aspartame, powdered;1;packet;0.807;0.807;0;0;0;0;0.084
Aspartame, tablet;1;tablet;0.064;0;0;0;0.064;0;0.012
Atomic Fireballs;3;piece;10.693;1.501;0.16;7.939;0;1.093;0
Baby Ruth;1;"regular size bar - each 2.1 OZ - 4 1/2"" long";32.4;4.116;1.164;26.25;0.828;1.326;0.408
Barfi or burfi candy (Indian fudge);1;"piece - each 1 7/8"" x 1 1/2"" x 3/4""";16.582;0.002;0.002;15.416;1.158;0.002;0.018
Bit-O-Honey;1;"bar - each 1.7 OZ - 4 1/4"" long - 6 sections";23.137;4.421;0.585;14.299;0.655;3.144;0.009
Blow Pop (Charms);1;lollipop;11.322;1.589;0.169;8.406;0;1.157;0
Boston Baked Beans candy;0.25;cup;28.65;1.098;0;26.573;0;0.979;1.986
Bottle Caps (Wonka);13;piece;13.04;13.01;0;0;0;0.03;0.96
Breath mint;1;regular piece;1.07;0.15;0.016;0.794;0;0.109;0
Breath mint, sugar free;1;piece;0;0;0;0;0;0;0
Bridge Mix (Brach's);15;piece;21;1.432;1.116;16.98;1.484;0.456;0.316
Brown sugar;1;teaspoon;4.447;0.062;0.051;4.334;0;0;0
Buncha Crunch;0.333;cup;20.228;0.059;0.059;19.392;1.202;0.022;3.249
Burger King breakfast syrup;0.25;cup;32.971;18.253;10.364;0;0;4.354;0
